"nome";"mortalidade";"bcg";"hepb";"hib3";"ipv1";"mcv1";"pcv3";"pol3";"rcv1";"rotac";"yfv";"dtp3"
"Slovenia";"5.4";"0.98";NULL;NULL;NULL;"0.95";NULL;"0.93";"0.95";NULL;NULL;"0.91"
"Spain";"5.4";NULL;"0.77";"0.92";NULL;"0.94";NULL;"0.95";"0.94";NULL;NULL;"0.95"
"Monaco";"5.2";"0.97";"0.99";"0.99";NULL;"0.98";NULL;"0.99";"0.98";NULL;NULL;"0.99"
"San Marino";"5.2";NULL;"0.97";"0.95";NULL;"0.99";NULL;"0.96";"0.99";NULL;NULL;"0.98"
"Norway";"4.9";NULL;NULL;"0.93";NULL;"0.88";NULL;"0.91";"0.88";NULL;NULL;"0.9"
"Japan";"4.5";NULL;NULL;NULL;NULL;"0.96";NULL;"0.98";"0.96";NULL;NULL;"0.85"
"Luxembourg";"4.5";NULL;"0.77";"0.93";NULL;"0.93";NULL;"0.99";"0.93";NULL;NULL;"0.99"
"Finland";"4.3";"0.99";NULL;"0.96";NULL;"0.96";NULL;"0.96";"0.96";NULL;NULL;"0.99"
"Sweden";"4.1";"0.16";NULL;"0.98";NULL;"0.91";NULL;"0.99";"0.91";NULL;NULL;"0.99"
"Iceland";"4";NULL;NULL;"0.98";NULL;"0.91";NULL;"0.98";"0.91";NULL;NULL;"0.98"
"Singapore";"3.8";"0.99";"0.97";NULL;NULL;"0.96";NULL;"0.98";"0.96";NULL;NULL;"0.98"
